normalized_staff_name,count
FMA,271
Anjali,229
Megha,207
Nihala,206
Aswani,184
Irfana,134
Malu,110
Sandra,94
Anshitha,93
Anaswara,88
Fidha,60
Rizwana,58
Drishya,57
Moni,43
Thasliya,26
Shahana,26
Reem,24
Anagha,21
Anjana,20
Nandhana,15
Shameena,15
Alfiya,14
Ajooba,10
Ajila,10
Pa,10
Hiba,9
P,9
Amp,6
Ramshitha,5
Dilna,5
Nida,5
Muneera,5
Mufeedha,3
Siniya,3
Shami,3
Shahina,3
Farsana,3
Shana,3
Jasmin,2
Akila,2
Ast(By Alfiya,2
Varsha,2
Malavika,2
Harsha,2
Shalu,2
Sheena,2
Sowmya,2
Nihala Jasmi,2
Jemshi,1
Murshi,1
Fma.Ast,1
Drishya Only,1
Sandra.Malu,1
Answani,1
Shaiba,1
Fms,1
Ast(By Aswani,1
Malini,1
Premium,1
Monchechi,1
As(By Alfiya,1
Murshitha,1
Ast (By Alfiya,1
Nihala.Megha,1
Amritha,1
2Nd Look10K,1
Srandra,1
Harsha Drapist,1
Nihala Megha,1
Lijina,1
Outside Drapist,1
New Girl,1
Monichechi,1
Drishay,1
Sda(Alfiya,1
Nihala Or Fidha,1
Aswani Mng 10.00Am Landmark Studio,1
Anjana Outside Drapist,1
Dlna,1
Mufsina No .Of Models : 2 Persons,1
Anasara,1
Angha,1
Mufsina,1
Fam,1
Agila,1
Drisya,1
Anawara,1
Shemeena,1
Anajli,1
Thasla,1
Najli,1
Kutty Hr,1
Sadra,1
Ajila Drapist,1
Ansawar,1
Jasmin Drapist,1
Malu Location : Malabar Jewellery Clt Starting Time : 12.00Pm Compleating Time : 3.00Pm,1
Bridesmaids,1
Malu.Nada,1
Sadndra,1
Thsliya,1
Hair Time Of Start : 10.00Am Location : Studio,1
Malu( Fma,1
Nihalamegha,1
Aswaniu,1
Face Only Artist : Irfana,1
Anjali Time Of Starting : 9.00Am Location : Landmark Studio Brides Name :,1
Hair Time Of Star : 11.45 Am Asts : Irfana,1
Anjali May 3,1
